locationid,Applicant,cnn,Address
1569152,Datam SF LLC dba Anzu To You,12463000,2535 TAYLOR ST
1569145,Casita Vegana,7553000,Assessors Block 7283/Lot004
1565593,MOMO INNOVATION LLC,3527000,351 CALIFORNIA ST
1565571,MOMO INNOVATION LLC,3525000,101 CALIFORNIA ST
1565954,Treats by the Bay LLC,10624001,1 MONTGOMERY ST
1565594,MOMO INNOVATION LLC,9094000,667 MISSION ST
1565628,Treats by the Bay LLC,5170000,120 ELLIS ST
1565413,MOMO INNOVATION LLC,3420000,1 BUSH ST
1047831,The Chef Station,480000,8 10TH ST
1565625,Treats by the Bay LLC,8762102,2029 MARKET ST
1565414,MOMO INNOVATION LLC,9090000,555 MISSION ST
1565623,Treats by the Bay LLC,7034000,201 02ND ST
1577123,El Calamar Perubian Food Truck,9091000,85 02ND ST
1577179,BH & MT LLC,736000,3253 16TH ST
1577113,"BOWL'D ACAI, LLC.",8122000,200 LARKIN ST
1577178,BH & MT LLC,6565000,1477 GROVE ST
1577204,"The New York Frankfurter Co. of CA, Inc. DBA: Annie's Hot Dogs",24892000,800 MARKET ST
1577206,"The New York Frankfurter Co. of CA, Inc. DBA: Annie's Hot Dogs",12195000,101 STOCKTON ST
1577177,BH & MT LLC,6563000,1265 GROVE ST
1577112,"BOWL'D ACAI, LLC.",2753000,111 BATTERY ST
1577174,BH & MT LLC,10770000,949 PRESIDIO AVE
1577205,"The New York Frankfurter Co. of CA, Inc. DBA: Annie's Hot Dogs",8747202,870 MARKET ST
1577173,BH & MT LLC,10048000,170 OTIS ST
1577114,"BOWL'D ACAI, LLC.",9301000,451 MONTGOMERY ST
1577176,BH & MT LLC,25871000,2001 MARKET ST
1577175,BH & MT LLC,1232000,401 23RD ST
1571753,The Geez Freeze,887000,3750 18TH ST
1577180,BH & MT LLC,8764101,2145 MARKET ST
1577115,"BOWL'D ACAI, LLC.",3357000,15 MARINA BLVD
934719,"Santana ESG, Inc.",11542000,1 SANSOME ST
1509789,Plaza Garibaldy,3529000,475 CALIFORNIA ST
934586,May Catering,12685000,630 TREAT AVE
1336741,Quan Catering,3376000,1575 BURKE AVE
1337426,Liang Bai Ping,10215000,Assessors Block /Lot
848184,Reecees Soulicious,2799106,201 BAY SHORE BLVD
1332942,Mini Mobile Food Catering,5861002,147 FREMONT ST
1343831,Got Snacks,184001,1020 03RD ST
934616,May Catering,4909000,1600 DONNER AVE
934516,Scotch Bonnet,101000,50 01ST ST
934608,May Catering,3889000,Assessors Block 3810/Lot008
1544286,Cochinita,2868000,501 BEALE ST
1336675,Mike's Catering,1232000,435 23RD ST
1337425,Liang Bai Ping,10215000,931 PALOU AVE
1580927,Park's Catering,9563000,300 NEWHALL ST
1580924,Park's Catering,9504000,190 NAPOLEON ST
